id,State_Name,Mean,Median,Stdev,sum_w
1011530,Alabama,48217,33446,42907,68.06510839
101901,Alabama,14741,11398,10903,47.9984
101910,Alabama,28347,20997,28311,1057.617393
101920,Alabama,242857,300000,25317,1.133106667
101930,Alabama,59694,38029,60946,13447.91383
101940,Alabama,50047,35147,43788,519.2748136
101950,Alabama,41239,29150,38565,7625.528576
101960,Alabama,32777,12379,58584,196.0868348
101970,Alabama,33353,25776,27149,334.9517462
101980,Alabama,65576,64695,38729,2521.942894
101990,Alabama,41709,27321,44007,239.6872926
1021006,Alabama,45862,32942,40674,1123.83961
1021016,Alabama,62222,56867,43036,1666.540389
1021026,Alabama,90262,71401,66042,1559.238222
1021036,Alabama,92018,74570,65160,1035.308758
1021046,Alabama,78399,71839,54844,641.3010013
1021056,Alabama,85122,75896,58979,959.142978
102106,Alabama,66000,54091,47663,1009.159632
1021066,Alabama,34064,28981,28466,438.0792492
1021076,Alabama,38882,27264,45128,922.6311462
1021086,Alabama,40948,31044,36118,1265.891659
1021096,Alabama,48421,35722,44616,1177.677057
1021106,Alabama,77977,74807,59517,502.9102965
1021116,Alabama,37965,29413,34880,615.7445284
1021126,Alabama,24931,12361,34393,484.2604787
1021136,Alabama,60252,45803,55310,2029.908687
1021146,Alabama,53301,40174,43882,954.5518482
1021156,Alabama,40072,29226,37412,1103.88352
102116,Alabama,35951,23009,38779,1174.454588
1021166,Alabama,48623,40342,41443,764.841684
1021176,Alabama,49046,36818,42393,680.4676136
1021186,Alabama,58180,51927,40722,510.8444983
1021196,Alabama,41464,35150,30951,174.3282399
1021206,Alabama,59061,300000,36002,341.5219868
1021216,Alabama,55216,43407,52450,291.7810769
1021226,Alabama,36474,24377,31702,452.1590132
1021236,Alabama,107603,97539,63498,939.7259125
1021246,Alabama,50583,41882,37860,343.6169668
1021256,Alabama,69996,300000,37937,178.7583046
102126,Alabama,56638,41768,48428,1636.79996
1021266,Alabama,67864,52050,64026,547.2694024
1021276,Alabama,71445,58784,51329,211.8549534
1021286,Alabama,65583,300000,59906,202.7281904
1021296,Alabama,49212,300000,21308,345.3251216
1021306,Alabama,57395,46769,46123,525.6204634
1021316,Alabama,56947,45615,47083,215.492279
1021326,Alabama,43222,26304,47072,285.4825837
1021336,Alabama,67555,54574,61374,173.5244742
1021346,Alabama,34855,32407,21562,501.2246477
1021356,Alabama,56385,49459,39388,488.4481825
102136,Alabama,53998,39956,48887,1013.526324
1021366,Alabama,47717,30660,46395,295.2199241
1021376,Alabama,58684,47284,39926,512.8839036
1021386,Alabama,30765,25206,26768,298.2455171
1021396,Alabama,30564,21911,23037,278.1915077
1021406,Alabama,36333,27877,29844,404.4778807
1021416,Alabama,27581,15743,28241,298.1823412
1021426,Alabama,55336,41259,45442,493.6837654
1021436,Alabama,54371,46871,46868,251.3530992
1021446,Alabama,49509,48881,28239,359.1819583
1021456,Alabama,46650,41809,29011,382.8876521
102146,Alabama,40352,30601,39286,386.1353965
1021466,Alabama,33803,13029,35858,100.2881019
1021476,Alabama,35282,27332,29556,214.8918525
1021486,Alabama,72487,64034,45909,566.3941522
1021496,Alabama,0,0,0,0
1021506,Alabama,45966,300000,34017,352.1625576
1021516,Alabama,38000,30130,30948,138.058378
1021526,Alabama,44019,27057,50751,263.194873
1021536,Alabama,57239,43170,47243,573.2144311
1021546,Alabama,51542,300000,60348,208.3649444
1021556,Alabama,54388,37212,48573,315.5869735
102156,Alabama,47550,35327,39518,518.1484343
1021566,Alabama,40648,33316,32761,353.5840698
1021576,Alabama,67265,46110,59481,295.7606065
1021586,Alabama,55952,40705,54619,162.5942132
1021596,Alabama,40451,36477,28494,195.891208
10216,Alabama,64173,45281,57389,1048.75579
1021606,Alabama,50714,38228,55570,370.3983285
1021616,Alabama,40592,23781,37971,300.2500931
1021626,Alabama,44628,35064,33198,165.0631848
1021636,Alabama,31459,25199,32837,452.8846457
1021646,Alabama,51782,34974,43086,178.4268049
1021656,Alabama,46792,30746,46019,202.7933989
102166,Alabama,88951,84211,56279,1360.078197
1021666,Alabama,61449,49254,51536,378.8821509
1021676,Alabama,51659,42586,39138,285.4936852
1021686,Alabama,46357,300000,26728,178.9959797
1021696,Alabama,72532,65185,55384,606.0447978
1021706,Alabama,51460,38525,36757,475.4468867
1021716,Alabama,44527,38139,36681,381.4901794
1021726,Alabama,31633,28982,24289,409.278686
1021736,Alabama,33042,23325,31099,330.2200569
1021746,Alabama,53559,300000,24136,139.0950736
1021756,Alabama,58835,41801,49863,382.1552613
102176,Alabama,61868,56246,44831,1277.268799
1021766,Alabama,46327,31463,35525,174.9599595
1021776,Alabama,60141,43585,50751,273.5251273
